iter	Passed	Remaining
0	15	15955
1	31	15569
2	45	15152
3	59	14818
4	74	14794
5	88	14689
6	102	14558
7	119	14776
8	134	14847
9	149	14774
10	163	14669
11	177	14624
12	190	14439
13	202	14286
14	216	14231
15	231	14265
16	245	14183
17	258	14113
18	274	14191
19	286	14051
20	298	13922
21	311	13833
22	323	13739
23	334	13623
24	348	13598
25	360	13521
26	375	13524
27	393	13653
28	407	13634
29	420	13606
30	434	13582
31	449	13588
32	461	13522
33	474	13493
34	486	13420
35	497	13322
36	508	13243
37	520	13180
38	533	13147
39	546	13110
40	559	13080
41	574	13109
42	589	13130
43	604	13130
44	617	13094
45	627	13021
46	639	12960
47	650	12910
48	663	12884
49	675	12835
50	686	12776
51	697	12723
52	708	12661
53	721	12645
54	734	12616
55	746	12590
56	758	12548
57	771	12536
58	784	12514
59	795	12467
60	807	12431
61	820	12407
62	832	12376
63	845	12369
64	858	12342
65	871	12331
66	884	12313
67	896	12283
68	908	12252
69	919	12219
70	930	12176
71	941	12138
72	953	12108
73	965	12083
74	976	12046
75	987	12003
76	998	11967
77	1009	11929
78	1019	11885
79	1030	11849
80	1041	11814
81	1052	11788
82	1067	11794
83	1082	11806
84	1097	11811
85	1110	11803
86	1125	11811
87	1138	11800
88	1151	11790
89	1167	11807
90	1182	11807
91	1193	11782
92	1208	11786
93	1220	11766
94	1233	11751
95	1247	11742
96	1261	11746
97	1275	11741
98	1291	11755
99	1306	11758
100	1320	11749
101	1332	11732
102	1344	11706
103	1358	11702
104	1372	11697
105	1389	11717
106	1403	11712
107	1416	11698
108	1430	11692
109	1442	11669
110	1454	11647
111	1465	11620
112	1477	11596
113	1488	11569
114	1500	11548
115	1512	11529
116	1524	11504
117	1535	11478
118	1547	11453
119	1558	11427
120	1569	11403
121	1581	11384
122	1594	11366
123	1606	11347
124	1617	11320
125	1627	11292
126	1639	11271
127	1651	11253
128	1665	11242
129	1677	11224
130	1689	11208
131	1701	11191
132	1714	11175
133	1726	11157
134	1740	11151
135	1754	11144
136	1766	11129
137	1778	11111
138	1790	11091
139	1802	11071
140	1813	11050
141	1824	11023
142	1836	11005
143	1849	10993
144	1862	10981
145	1874	10965
146	1887	10951
147	1899	10935
148	1912	10924
149	1925	10909
150	1939	10904
151	1951	10885
152	1962	10862
153	1972	10836
154	1984	10816
155	1995	10793
156	2005	10769
157	2016	10746
158	2027	10724
159	2038	10701
160	2050	10683
161	2060	10660
162	2071	10636
163	2083	10618
164	2094	10599
165	2106	10584
166	2120	10574
167	2131	10556
168	2177	10706
169	2212	10804
170	2226	10795
171	2237	10770
172	2248	10749
173	2259	10726
174	2273	10718
175	2285	10701
176	2300	10698
177	2314	10686
178	2327	10675
179	2343	10676
180	2357	10666
181	2369	10648
182	2380	10629
183	2393	10613
184	2405	10595
185	2418	10583
186	2430	10567
187	2444	10558
188	2458	10549
189	2469	10526
190	2479	10504
191	2491	10484
192	2502	10462
193	2515	10449
194	2527	10432
195	2538	10412
196	2548	10389
197	2560	10371
198	2572	10352
199	2583	10333
200	2594	10314
201	2607	10301
202	2619	10283
203	2631	10269
204	2643	10252
205	2654	10232
206	2665	10211
207	2676	10192
208	2689	10178
209	2702	10165
210	2714	10148
211	2726	10135
212	2740	10124
213	2752	10109
214	2763	10088
215	2775	10072
216	2786	10056
217	2799	10042
218	2811	10027
219	2823	10010
220	2836	9999
221	2848	9981
222	2860	9966
223	2872	9951
224	2884	9936
225	2897	9923
226	2909	9908
227	2922	9895
228	2934	9879
229	2946	9865
230	2960	9854
231	2973	9841
232	2985	9826
233	2997	9811
234	3008	9794
235	3022	9784
236	3035	9773
237	3047	9757
238	3057	9736
239	3069	9719
240	3080	9700
241	3090	9680
242	3102	9664
243	3113	9646
244	3123	9626
245	3136	9613
246	3147	9596
247	3159	9581
248	3170	9562
249	3182	9546
250	3192	9527
251	3203	9509
252	3215	9493
253	3227	9479
254	3239	9464
255	3251	9450
256	3285	9497
257	3296	9481
258	3307	9463
259	3318	9444
260	3332	9435
261	3345	9422
262	3358	9410
263	3371	9400
264	3384	9387
265	3396	9373
266	3408	9358
267	3419	9339
268	3431	9324
269	3442	9307
270	3452	9288
271	3464	9273
272	3476	9259
273	3489	9246
274	3501	9231
275	3512	9213
276	3523	9197
277	3536	9184
278	3547	9168
279	3559	9153
280	3570	9136
281	3581	9117
282	3592	9102
283	3603	9085
284	3614	9068
285	3626	9053
286	3636	9034
287	3647	9016
288	3658	9001
289	3669	8984
290	3681	8969
291	3692	8954
292	3705	8940
293	3716	8923
294	3729	8912
295	3742	8900
296	3753	8884
297	3763	8866
298	3775	8852
299	3787	8836
300	3798	8820
301	3809	8805
302	3822	8792
303	3833	8777
304	3844	8760
305	3855	8744
306	3868	8732
307	3880	8718
308	3891	8703
309	3902	8686
310	3913	8670
311	3925	8656
312	3936	8639
313	3946	8622
314	3958	8607
315	3969	8591
316	3979	8574
317	3991	8560
318	4003	8547
319	4014	8530
320	4025	8514
321	4036	8499
322	4047	8484
323	4058	8467
324	4070	8453
325	4082	8440
326	4092	8423
327	4105	8410
328	4117	8396
329	4127	8380
330	4139	8367
331	4151	8353
332	4162	8337
333	4173	8321
334	4184	8306
335	4195	8291
336	4207	8276
337	4218	8262
338	4230	8249
339	4240	8232
340	4251	8217
341	4265	8206
342	4278	8194
343	4294	8189
344	4312	8187
345	4326	8177
346	4341	8170
347	4358	8165
348	4370	8152
349	4383	8141
350	4396	8129
351	4413	8124
352	4426	8113
353	4438	8100
354	4451	8087
355	4464	8075
356	4476	8062
357	4486	8045
358	4497	8030
359	4509	8017
360	4522	8005
361	4541	8004
362	4557	7997
363	4576	7996
364	4594	7993
365	4608	7982
366	4620	7969
367	4635	7960
368	4648	7948
369	4660	7936
370	4674	7924
371	4685	7910
372	4701	7902
373	4717	7896
374	4731	7886
375	4744	7874
376	4758	7862
377	4769	7848
378	4781	7835
379	4794	7822
380	4808	7812
381	4821	7800
382	4836	7791
383	4851	7782
384	4866	7773
385	4880	7763
386	4894	7752
387	4907	7741
388	4921	7730
389	4933	7717
390	4946	7704
391	4962	7696
392	4975	7684
393	4990	7676
394	5005	7666
395	5020	7656
396	5032	7643
397	5044	7629
398	5057	7618
399	5073	7609
400	5088	7601
401	5103	7591
402	5118	7582
403	5131	7570
404	5146	7560
405	5158	7547
406	5174	7539
407	5187	7527
408	5203	7519
409	5216	7507
410	5230	7495
411	5244	7484
412	5255	7470
413	5268	7456
414	5282	7446
415	5295	7434
416	5307	7420
417	5321	7409
418	5334	7397
419	5347	7384
420	5360	7371
421	5375	7362
422	5390	7353
423	5405	7343
424	5418	7331
425	5432	7319
426	5445	7307
427	5458	7294
428	5470	7281
429	5485	7271
430	5497	7258
431	5511	7246
432	5523	7232
433	5535	7219
434	5547	7205
435	5559	7191
436	5572	7178
437	5583	7164
438	5599	7155
439	5613	7143
440	5627	7132
441	5639	7119
442	5651	7105
443	5665	7094
444	5679	7083
445	5693	7071
446	5707	7061
447	5721	7049
448	5733	7035
449	5747	7025
450	5760	7012
451	5774	7001
452	5788	6989
453	5801	6976
454	5814	6964
455	5827	6951
456	5877	6983
457	5905	6988
458	5919	6976
459	5944	6978
460	5956	6964
461	5966	6947
462	5977	6933
463	5989	6918
464	5999	6902
465	6010	6887
466	6022	6873
467	6034	6859
468	6047	6846
469	6059	6833
470	6070	6818
471	6081	6803
472	6093	6789
473	6106	6776
474	6116	6760
475	6130	6748
476	6143	6735
477	6154	6721
478	6166	6707
479	6179	6694
480	6192	6682
481	6205	6668
482	6216	6654
483	6228	6640
484	6241	6627
485	6254	6615
486	6268	6602
487	6279	6588
488	6294	6577
489	6308	6565
490	6320	6552
491	6333	6539
492	6345	6525
493	6359	6514
494	6371	6500
495	6383	6486
496	6395	6472
497	6407	6459
498	6419	6445
499	6431	6431
500	6443	6417
501	6456	6405
502	6468	6391
503	6481	6378
504	6492	6363
505	6504	6349
506	6515	6335
507	6527	6322
508	6539	6308
509	6552	6295
510	6564	6282
511	6575	6267
512	6588	6254
513	6600	6240
514	6612	6227
515	6623	6212
516	6636	6199
517	6647	6185
518	6658	6170
519	6669	6156
520	6684	6146
521	6696	6131
522	6706	6116
523	6718	6102
524	6729	6088
525	6740	6074
526	6751	6059
527	6762	6045
528	6773	6031
529	6784	6016
530	6796	6002
531	6806	5988
532	6817	5973
533	6828	5959
534	6839	5944
535	6850	5930
536	6861	5916
537	6872	5901
538	6885	5889
539	6897	5875
540	6909	5862
541	6920	5848
542	6932	5834
543	6945	5821
544	6956	5807
545	6968	5793
546	6980	5781
547	6992	5767
548	7005	5754
549	7016	5740
550	7027	5726
551	7040	5713
552	7051	5700
553	7063	5686
554	7076	5674
555	7088	5660
556	7099	5646
557	7111	5633
558	7123	5619
559	7133	5604
560	7144	5590
561	7154	5576
562	7165	5561
563	7176	5548
564	7187	5533
565	7198	5519
566	7210	5506
567	7220	5491
568	7231	5477
569	7242	5463
570	7253	5449
571	7263	5435
572	7276	5422
573	7288	5409
574	7301	5396
575	7313	5383
576	7325	5369
577	7337	5356
578	7348	5343
579	7360	5329
580	7371	5315
581	7383	5303
582	7394	5288
583	7405	5275
584	7417	5262
585	7427	5247
586	7438	5233
587	7451	5220
588	7462	5207
589	7472	5192
590	7484	5179
591	7495	5165
592	7507	5152
593	7520	5140
594	7531	5126
595	7542	5112
596	7555	5100
597	7565	5086
598	7576	5072
599	7588	5058
600	7599	5045
601	7609	5031
602	7621	5017
603	7631	5003
604	7642	4989
605	7653	4975
606	7665	4962
607	7677	4950
608	7689	4936
609	7700	4923
610	7711	4909
611	7722	4895
612	7734	4883
613	7745	4869
614	7756	4855
615	7766	4841
616	7777	4828
617	7788	4814
618	7798	4800
619	7810	4786
620	7821	4773
621	7833	4760
622	7846	4747
623	7857	4734
624	7869	4721
625	7881	4708
626	7893	4695
627	7903	4681
628	7915	4668
629	7928	4656
630	7939	4643
631	7952	4630
632	7963	4617
633	7974	4603
634	7985	4589
635	7996	4576
636	8009	4564
637	8022	4551
638	8033	4538
639	8045	4525
640	8057	4512
641	8069	4499
642	8080	4486
643	8092	4473
644	8103	4460
645	8114	4446
646	8126	4433
647	8138	4420
648	8150	4407
649	8164	4396
650	8176	4383
651	8188	4370
652	8200	4357
653	8212	4344
654	8224	4331
655	8236	4319
656	8248	4306
657	8261	4293
658	8273	4280
659	8285	4268
660	8297	4255
661	8310	4242
662	8323	4230
663	8335	4217
664	8346	4204
665	8358	4191
666	8369	4178
667	8381	4165
668	8394	4153
669	8405	4140
670	8417	4127
671	8431	4115
672	8443	4102
673	8455	4089
674	8466	4076
675	8476	4062
676	8488	4049
677	8499	4036
678	8510	4023
679	8521	4010
680	8533	3997
681	8544	3984
682	8555	3970
683	8567	3958
684	8579	3945
685	8590	3932
686	8603	3919
687	8613	3906
688	8624	3893
689	8638	3880
690	8651	3868
691	8663	3856
692	8673	3842
693	8685	3829
694	8696	3816
695	8706	3803
696	8717	3789
697	8730	3777
698	8740	3763
699	8752	3751
700	8763	3737
701	8775	3725
702	8786	3712
703	8798	3699
704	8811	3687
705	8822	3673
706	8834	3661
707	8845	3648
708	8856	3635
709	8868	3622
710	8879	3609
711	8891	3596
712	8902	3583
713	8913	3570
714	8925	3557
715	8936	3544
716	8948	3531
717	8959	3519
718	8970	3505
719	8981	3492
720	8992	3479
721	9005	3467
722	9017	3454
723	9029	3442
724	9041	3429
725	9051	3416
726	9062	3403
727	9074	3390
728	9085	3377
729	9096	3364
730	9107	3351
731	9120	3339
732	9133	3326
733	9145	3314
734	9157	3301
735	9167	3288
736	9179	3275
737	9190	3262
738	9201	3249
739	9214	3237
740	9225	3224
741	9237	3211
742	9249	3199
743	9261	3186
744	9274	3174
745	9284	3161
746	9296	3148
747	9307	3135
748	9319	3123
749	9330	3110
750	9341	3097
751	9352	3084
752	9363	3071
753	9374	3058
754	9385	3045
755	9396	3032
756	9406	3019
757	9419	3007
758	9432	2994
759	9443	2982
760	9455	2969
761	9467	2956
762	9478	2944
763	9489	2931
764	9500	2918
765	9510	2905
766	9521	2892
767	9532	2879
768	9543	2866
769	9554	2853
770	9565	2841
771	9576	2828
772	9587	2815
773	9599	2802
774	9610	2790
775	9621	2777
776	9633	2764
777	9645	2752
778	9658	2740
779	9671	2727
780	9682	2714
781	9696	2703
782	9707	2690
783	9718	2677
784	9729	2664
785	9740	2652
786	9752	2639
787	9764	2626
788	9775	2614
789	9786	2601
790	9797	2588
791	9809	2576
792	9819	2563
793	9830	2550
794	9841	2537
795	9853	2525
796	9865	2512
797	9875	2499
798	9886	2486
799	9896	2474
800	9907	2461
801	9918	2448
802	9928	2435
803	9938	2422
804	9950	2410
805	9961	2397
806	9972	2385
807	9983	2372
808	9994	2359
809	10005	2346
810	10016	2334
811	10027	2321
812	10037	2308
813	10049	2296
814	10062	2284
815	10074	2271
816	10086	2259
817	10098	2246
818	10110	2234
819	10121	2221
820	10133	2209
821	10145	2197
822	10157	2184
823	10167	2171
824	10178	2159
825	10189	2146
826	10201	2134
827	10213	2121
828	10225	2109
829	10235	2096
830	10248	2084
831	10260	2071
832	10273	2059
833	10285	2047
834	10298	2035
835	10309	2022
836	10321	2010
837	10332	1997
838	10343	1984
839	10354	1972
840	10364	1959
841	10376	1947
842	10387	1934
